routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,450
_wait_for_messages,0.0,0.0,0.0,450
_preplan,1.994,0.0,1.994,1
_get_next_actions,0.0,0.0,0.0,450
preplanner/__get_new_requests,0.0,0.0,0.0,450
preplanner/__update_performed_requests,0.0,0.0,0.0,450
preplanner/_calc_arrival_times,0.232,0.081,0.221,101
preplanner/__update_access_times,0.052,1.104,0.0,450
preplanner/needs_initialized_plan,0.053,1.104,0.0,450
preplanner/_get_available_requests,0.0,0.0,0.0,1
preplanner/_plan_from_path,0.454,0.0,0.454,1
preplanner/initialize_plan,1.993,0.0,1.993,1
