routine,t_avg,t_std,t_med,n
__check_action_completion,0.0,0.0,0.0,255
_wait_for_messages,0.0,0.0,0.0,255
_preplan,0.023,0.02,0.018,4
_get_next_actions,0.0,0.0,0.0,255
preplanner/__get_new_requests,0.0,0.0,0.0,255
preplanner/__update_performed_requests,0.0,0.0,0.0,255
preplanner/_calc_arrival_times,0.218,0.069,0.214,388
preplanner/__update_access_times,0.332,2.647,0.0,255
preplanner/needs_initialized_plan,0.333,2.647,0.0,255
preplanner/_get_available_requests,0.0,0.0,0.0,4
preplanner/_plan_from_path,0.015,0.012,0.013,4
preplanner/initialize_plan,0.023,0.02,0.017,4
